,departamento,municipio,capital,cod_ine,poblacion
0,Oruro,Esmeralda,ESMERALDA,40505,2854
1,Potosí,Llallagua,LLALLAGUA,50203,42861
2,Potosí,Caripuyo,CARIPUYO,50702,8503
3,Cochabamba,Aiquile,AIQUILE,30201,24676
4,Potosí,Sacaca,SACACA,50701,19118
5,Potosí,Acasio,ACACIO,51302,6435
6,Oruro,Huanuni,HUANUNI,40701,27975
7,Oruro,Huachacalla,HUACHACALLA,40501,1011
8,Cochabamba,Villa Rivero,VILLA RIVERO,31402,9034
9,La Paz,Chacarilla,CHACARILLA,21803,2282
10,Cochabamba,Arbieto,ARBIETO,30403,23940
11,La Paz,Papel Pampa,PAPEL PAMPA,21802,7402
12,La Paz,Umala,UMALA,21302,8103
13,Oruro,Oruro,ORURO,40101,302643
14,Oruro,Huayllamarca,HUAYLLAMARCA,41601,5715
15,La Paz,San Pedro de Curahuara,SAN PEDRO DE CURAHUARA,21801,9016
16,Cochabamba,Sicaya,SICAYA,30703,5789
17,Santa Cruz,Puerto Quijarro,PUERTO QUIJARRO,71402,20068
18,Cochabamba,Capinota,CAPINOTA,30701,21644
19,Cochabamba,Arque,ARQUE,30601,10947
20,La Paz,Corocoro,CORO CORO,20301,9498
21,Cochabamba,San Benito,SAN BENITO,31403,17085
22,La Paz,Sapahaqui,SAPAHAQUI,20902,12917
23,La Paz,Cairoma,CAIROMA,20905,10870
24,La Paz,Colquiri,COLQUIRI,21004,20835
25,La Paz,Ichoca,ICHOCA,21005,8368
26,Santa Cruz,La Guardia,LA GUARDIA,70104,177735
27,Santa Cruz,Moromoro,MORO MORO,70803,2541
28,Santa Cruz,El Torno,EL TORNO,70105,63298
29,Santa Cruz,Samaipata,SAMAIPATA,70901,11731
30,Chuquisaca,San Lucas,SAN LUCAS,10702,33632
31,Chuquisaca,Culpina,CULPINA,10902,18801
32,Chuquisaca,Incahuasi,INCAHUASI,10703,14293
33,Santa Cruz,San Juan,SAN JUAN DE YAPACANI,70404,10692
34,Potosí,Tinguipaya,TINGUIPAYA,50102,31591
35,Potosí,San Pedro,SAN PEDRO DE BUENA VISTA,50501,31718
36,La Paz,Villa Ancoraimes,ANCORAIMES,20202,12864
37,La Paz,Puerto Mayor de Carabuco,PUERTO CARABUCO,20403,13869
38,Oruro,Sabaya,SABAYA,40901,8461
39,Beni,Loreto,LORETO,80601,4035
40,Potosí,Tomave,TOMAVE,51202,16329
41,Potosí,Porco,PORCO,51203,11395
42,Tarija,Villa Montes,VILLA MONTES,60303,51916
43,Potosí,Yocalla,YOCALLA,50103,9674
44,Potosí,Urmiri,BELEN DE URMIRI,50104,3529
45,La Paz,Mocomoco,MOCOMOCO,20402,16175
46,Santa Cruz,Saipina,SAIPINA,71302,9702
47,Cochabamba,Omereque,OMEREQUE,30203,5850
48,Santa Cruz,Porongo,PORONGO,70103,17047
49,Santa Cruz,Santa Cruz de la Sierra,SANTA CRUZ DE LA SIERRA,70101,1722480
50,Beni,San Ignacio,SAN IGNACIO,80501,22564
51,Beni,San Javier,SAN JAVIER(BNI),80102,5906
52,Santa Cruz,San Pedro,SAN PEDRO,71005,24077
53,La Paz,Cajuata,CAJUATA,21003,12283
54,La Paz,Inquisivi,INQUISIVI,21001,15198
55,La Paz,Irupana,IRUPANA (VILLA DE LANZA),21102,19355
56,La Paz,Chulumani,CHULUMANI (V.  DE LA LIBERTAD),21101,21619
57,Oruro,Poopó,POOPO,40601,8032
58,Oruro,Totora,TOTORA(ORR),41301,5726
59,Potosí,Betanzos,BETANZOS,50301,31922
60,Oruro,Turco,TURCO,40402,5812
61,Oruro,Todos Santos,TODOS SANTOS,41502,1069
62,Santa Cruz,Concepción,CONCEPCION,71101,24070
63,Santa Cruz,Santa Rosa,SANTA ROSA DEL SARA,70602,23834
64,Beni,Huacaraje,HUARACAJE,80803,4577
65,Oruro,La Rivera,LA RIVERA,41501,581
66,Tarija,Entre Ríos,ENTRE RIOS  TRJ,60601,24107
67,Beni,San Joaquín,SAN JOAQUIN,80701,8038
68,Beni,San Ramón,SAN RAMON BENI,80702,5216
69,La Paz,Tiahuanacu,TIAWANACU,20803,12757
70,Potosí,Colquechaca,COLQUECHACA,50401,35997
71,Potosí,Pocoata,POCOATA,50403,31517
72,Cochabamba,Quillacollo,QUILLACOLLO,30901,169360
73,Cochabamba,Sacaba,SACABA,31001,208913
74,Cochabamba,Tiquipaya,TIQUIPAYA,30903,65881
75,Cochabamba,Colcapirhua,COLCAPIRHUA,30905,59172
76,Cochabamba,Sipesipe,SIPE SIPE,30902,47135
77,Cochabamba,Vinto,VINTO,30904,62131
78,Cochabamba,Tarata,TARATA,30401,8722
79,Cochabamba,Totora,TOTORA(CBBA),31201,17372
80,Santa Cruz,Buena Vista,BUENA VISTA,70401,13184
81,Santa Cruz,San Carlos,SAN CARLOS,70402,23629
82,Beni,Magdalena,MAGDALENA,80801,13077
83,Santa Cruz,Portachuelo,PORTACHUELO,70601,19735
84,Potosí,San Antonio de Esmoruco,SAN ANTONIO DE ESMORUCO,51003,2828
85,Tarija,Uriondo,URIONDO (A,60401,15595
86,Potosí,Mojinete,MOJINETE,51002,1660
87,Tarija,Yacuiba,YACUIBA,60301,103723
88,Tarija,Yunchará,YUNCHARA,60402,5621
89,Tarija,Caraparí,CARAPARI,60302,17279
90,Tarija,San Lorenzo,SAN LORENZO(TJA),60501,25796
91,Tarija,El Puente,EL PUENTE(TJA),60502,11920
92,Potosí,Toro Toro,TORO TORO,50502,11088
93,Potosí,San Agustín,SAN AGUSTIN,51601,1712
94,Tarija,Tarija,TARIJA,60101,268387
95,Potosí,San Pablo,SAN PABLO DE LIPEZ,51001,4118
96,Chuquisaca,Las Carreras,LAS CARRERAS,10903,4412
97,Chuquisaca,Villa Abecia,CAMATAQUI (C. VILLA ABECIA),10901,4022
98,Cochabamba,Morochata,MOROCHATA,30302,13009
99,Oruro,Carangas,CARANGAS,41503,891
100,Oruro,Yunguyo del Litoral,YUNGUYO DE LITORAL,40504,546
101,Oruro,Cruz de Machacamarca,CRUZ DE MACHACAMARCA,40503,3280
102,Oruro,Antequera,ANTEQUERA,40603,3070
103,La Paz,Nazacara de Pacajes,NAZACARA DE PACAJES,20307,699
104,La Paz,Caquiaviri,CAQUIAVIRI,20302,15427
105,Oruro,Belén de Andamarca,BELEN DE ANDAMARCA,41202,2127
106,Oruro,Corque,CORQUE,40301,9329
107,Potosí,Vitiche,VITICHI,50602,10332
108,La Paz,Luribay,LURIBAY,20901,12313
109,Potosí,Arampampa,ARAMPAMPA,51301,3761
110,Cochabamba,Sacabamba,SACABAMBA,30404,4508
111,Cochabamba,Anzaldo,ANZALDO,30402,7415
112,Cochabamba,Toco,TOCO,30802,7420
113,Cochabamba,Villa Gualberto Villarroel,CUCHUMUELA (V,31405,2951
114,Cochabamba,Tacachi,TACACHI,31404,1424
115,Cochabamba,Cliza,CLIZA,30801,23987
116,Cochabamba,Tacopaya,TACOPAYA,30602,10582
117,Cochabamba,Santivañez,SANTIVAÑES,30702,7295
118,Oruro,Paria,SORACACHI,40104,11598
119,La Paz,Collana,COLLANA,21307,4777
120,Cochabamba,Tolata,TOLATA,30803,6183
