municipio,cod_ine,confirmados,recuperados,decesos
Genreal Saavedra,71002,5,0,0
Tarija,60101,3,0,0
Cliza,0,1,0,1
San Carlos,70402,1,0,0
Mairana,70903,1,0,0
Concepcion,71101,1,0,0
Patacamaya,21305,23,2,1
San Pedro,71005,1,0,0
Capinota,30701,0,0,0
Porongo (Ayacucho),70103,1,1,0
Laja,21202,1,0,0
Santa Rosa,70602,16,0,0
Mineros,0,1,0,0
San Julián,71104,1,0,0
Malla,20904,1,0,0
Chulumani,21101,1,0,0
Santuario de Quillacas,40202,3,0,0
Buena Vista,70401,1,0,0
Colcapirhua,30905,1,1,0
Chimore,31204,1,1,0
Cairoma,20905,12,0,0
Cobija,90101,12,6,1
Punata,31401,9,0,1
Vallegrande,70801,8,4,0
Portachuelo,70601,1,0,0
Quillacollo,30901,18,0,1
Warnes,70201,16,0,1
Cotoca,70102,7,0,0
Moxos,80501,1,0,0
Colcha K,0,3,0,0
Copacabana,21701,1,1,0
Potosi,50101,22,2,1
Huanuni,40701,20,0,0
Santibañez,30702,12,8,0
Robore,70503,5,3,1
El Torno,0,4,0,0
Sacaba,31001,2,1,1
Uyuni,51201,1,0,0
Sucre,10101,3,0,0
Viacha,20801,1,0,0
Trinidad,80101,66,0,1
Oruro,40101,70,10,2
Cochabamba,30101,31,10,2
Eucaliptus,41101,9,0,4
Santa Cruz de la Sierra,70101,395,35,20
La Paz,20101,120,18,8
El Alto,20105,58,6,6
Pailon,70502,4,0,0
Montero,71001,153,7,7
La Guardia,70104,34,0,3
Omereque,30203,5,4,0
