municipio,cod_ine,confirmados,recuperados,decesos
Eucaliptus,41101,9,0,2
Genreal Saavedra,71002,5,0,0
Tarija,60101,3,0,0
Robore,70503,5,2,1
Cliza,0,1,0,1
San Carlos,70402,1,0,0
Mairana,70903,1,0,0
Concepcion,71101,1,0,0
Uyuni,51201,1,0,0
San Pedro,71005,1,0,0
Capinota,30701,0,0,0
Porongo (Ayacucho),70103,1,1,0
Laja,21202,1,0,0
La Guardia,70104,29,0,2
Cochabamba,30101,29,7,2
Patacamaya,21305,23,0,1
Santa Rosa,70602,16,0,0
Mineros,0,1,0,0
Huanuni,40701,18,0,0
San Julián,71104,1,0,0
Malla,20904,1,0,0
El Torno,0,3,0,0
Chulumani,21101,1,0,0
Santuario de Quillacas,40202,3,0,0
Buena Vista,70401,1,0,0
Omereque,30203,5,1,0
Colcapirhua,30905,1,1,0
Chimore,31204,1,1,0
Sacaba,31001,2,0,1
Santibañez,30702,12,3,0
Cairoma,20905,12,0,0
Oruro,40101,49,10,2
Sucre,10101,2,0,0
Cobija,90101,12,6,1
Punata,31401,9,0,1
Vallegrande,70801,8,4,0
Montero,71001,125,3,3
La Paz,20101,82,10,8
Potosi,50101,22,0,1
Santa Cruz de la Sierra,70101,301,25,15
El Alto,20105,47,5,6
Trinidad,80101,56,0,1
Quillacollo,30901,18,0,1
Warnes,70201,16,0,1
Cotoca,70102,7,0,0
Moxos,80501,1,0,0
Colcha K,0,3,0,0
Copacabana,21701,1,1,0
Pailon,70502,2,0,0
